,1,2,3,4,5,6,7,8,9,10
,斗鱼,熊猫TV,虎牙,战旗TV,龙珠,火猫,花椒,一直播,全民TV,触手TV
2018年05月23日（周三）,10423848,1328529,183950,2396463,474182,1267213,107304,215119,515060,164022
2018年05月24日（周四）,11701281,1302981,168621,2314707,443524,1446053,112413,184461,466518,143072
2018年05月25日（周五）,11599086,1282542,183950,2314707,443524,1471602,122633,179351,429728,158401
2018年05月26日（周六）,13080908,1302980,168621,2273829,505863,1456273,127743,158401,332643,153291
2018年05月27日（周日）,12927616,1911038,158401,2355585,495643,1476712,127743,158401,337753,163511
2018年05月28日（周一）,12978713,2411792,158401,2345366,516082,1563577,132852,163511,309649,168621
2018年05月29日（周二）,12927616,2411792,153292,2309597,510972,1553357,143072,178840,320380,168621
2018年05月30日（周三）,13234200,2513986,153292,2345366,536521,1400066,153291,189060,357170,158401
2018年05月31日（周四）,13336395,2529316,153292,2345366,541631,1205896,158401,173730,380164,163511
2018年06月01日（周五）,13694076,3142483,194170,2345366,556960,1098591,153291,201323,427173,143072
2018年06月02日（周六）,14205049,3116935,204389,2284049,526302,1113921,163511,201323,498709,158401
2018年06月03日（周日）,13132006,3168032,960629,2212512,516082,1021945,163511,206433,529368,143072
2018年06月04日（周一）,12007865,3168032,975958,2284049,490534,1052604,153291,223806,547252,143072
2018年06月05日（周二）,12161157,3673895,981068,2381134,490534,1129250,148182,223806,582509,148182
2018年06月06日（周三）,11905670,3724993,1568687,2406682,485424,1190567,137962,249354,597838,168621
2018年06月07日（周四）,11752378,4266624,1568687,2457780,510973,1328529,132852,300452,608057,178840
2018年06月08日（周五）,11701281,4215527,1553869,2427121,505863,1364297,137962,288188,613167,206433
2018年06月09日（周六）,9810681,4251295,1563066,2544645,516082,1359188,137962,288188,628496,208988
2018年06月10日（周日）,11037016,3556372,883472,2559974,500753,1394956,132852,283079,648935,224317
2018年06月11日（周一）,10985919,3556372,890115,2488438,521192,1302981,157890,270815,659155,239646
